date,location,latitude,longitude,subject_race,subject_sex,violation,citation_issued,warning_issued,outcome
12/11/07,MIFFLIN AND WISCONSIN,43.0754925,-89.385227,white,male,operating after revocation (3rd),TRUE,FALSE,citation
12/11/07,JOHN NOLAN DRIVE,43.0564469,-89.3822129,hispanic,male,operating vehicle with expired registration,FALSE,TRUE,warning
12/11/07,MILWAUKEE ST,43.0988773,-89.3015781,white,male,fail to yld turning left at intersection,TRUE,FALSE,citation
12/12/07,300 BLOCK OF W LAKESIDE ST,43.0560284,-89.3867195,white,female,operating unreg. or expired vehicle >=10000 lbs,TRUE,FALSE,citation
12/12/07,1ST ST,43.0927737,-89.3600394,white,male,failure to obtain permit before excavation of,FALSE,TRUE,warning
12/12/07,PFLAUM RD,43.0623078,-89.308791,white,female,speeding over fixed limits (1-10 mph),TRUE,FALSE,citation
12/12/07,2200 E WASHINGTON AV,43.0962291,-89.3541054,white,male,speeding in school zones (1-10 mph),TRUE,FALSE,citation
12/12/07,2200 E WASHINGTON AV,43.0962291,-89.3541054,white,female,speeding at school crossing (11-15 mph),TRUE,FALSE,citation
12/12/07,PRAIRIE RD,43.0285045,-89.4888435,black,male,failure to yield from stop sign,TRUE,FALSE,citation
12/12/07,MILWAUKEE ST,43.0988773,-89.3015781,black,male,failure to yield from stop sign,TRUE,FALSE,citation
12/12/07,MILWAUKEE ST,43.0988773,-89.3015781,black,male,operating after suspension,TRUE,FALSE,citation
12/12/07,WATTS RD,43.0509065,-89.512101,hispanic,male,fail to yld turning left at intersection,TRUE,FALSE,citation
12/12/07,WATTS RD,43.0509065,-89.512101,hispanic,male,operating after revocation,TRUE,FALSE,citation
12/12/07,900 NORTHPORT DR,43.1383873,-89.3827537,white,male,speeding over fixed limits (16-19 mph),TRUE,FALSE,citation
12/12/07,W DOTY ST,43.069849700000006,-89.3869155,white,male,operating unreg. or expired vehicle <=10000 lbs,TRUE,FALSE,citation
12/12/07,N 3RD ST,43.0067932,-89.3355631,white,male,driving too fast for conditions,TRUE,FALSE,citation
12/12/07,WATTS RD,43.0509065,-89.512101,hispanic,male,permit unauthorized person to drive,TRUE,FALSE,citation
12/12/07,WILLIAMSON ST,43.081688,-89.3666241,black,female,automobile following too closely,TRUE,FALSE,citation
12/12/07,NORTH STAR,43.08968549999999,-89.2764168,white,female,inattentive driving,TRUE,FALSE,citation
